id	family	group	language	idiom	type	genlang_point	map	chapter	value1	feature1	name_origin	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	source	page	contributor	date
221	West Caucasian	West Circassian	Abadzekh			no	no	Expression of the sense ‘maize’	other	Type of name	nart-millet	nat(ir)if	nat(ir)if	Mais	maize			erckert1895	98	Samira Verhees	May 2025
224	West Caucasian	Abkhaz-Abaza	Abkhaz			no	no	Expression of the sense ‘maize’	hajj-wheat	Type of name	hajj-wheat native	adžikhurej	aǯik'urej	Mais	maize		Turkic according to the author	erckert1895	98	Samira Verhees	May 2025
22	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Expression of the sense ‘maize’	hajj-wheat	Type of name	haǯibuɣda - Azeri	Х1ЕЖ'ИБУГЪДА	ħežibuʁda	кукуруза	maize			ramazanov2010	648	Samira Verhees	May 2025
63	East Caucasian	Lezgic	Agul	Khutkhul	village	no	yes	Expression of the sense ‘maize’	hajj-wheat	Type of name	haǯibuɣda - Azeri	хIаджибугъда	ħaǯibuʁda	кукуруза	maize			chechuroetal2019	Khutkhul2, Khutkhul3	Samira Verhees	May 2025
20	East Caucasian	Lezgic	Agul	Khutkhul	village	no	no	Expression of the sense ‘maize’	hajj-wheat	Type of name	haǯibuɣda - Azeri	гъяжибугъда	ʁaˤžibuʁda	кукуруза	maize			chechuroetal2019	Khutkhul1, Khutkhul4	Samira Verhees	May 2025
131	East Caucasian	Lezgic	Agul	Tpig	village	no	yes	Expression of the sense ‘maize’	hajj-wheat	Type of name	haǯibuɣda - Azeri	хIеджибугъда	ħeǯibuʁda	кукуруза	maize			chechuroetal2019	Tpig1	Samira Verhees	May 2025
210	East Caucasian	Lezgic	Agul			no	no	Expression of the sense ‘maize’	hajj-wheat	Type of name	haǯibuɣda - Azeri	haži-budaj	haži-budaj	Mais	maize		Turkic according to the author	erckert1895	98	Samira Verhees	May 2025
211	East Caucasian	Lezgic	Agul			no	no	Expression of the sense ‘maize’	hajj-wheat	Type of name	haǯibuɣda - Azeri	hadži-bugda	haǯi-bugda	Mais	maize		Turkic according to the author	erckert1895	98	Samira Verhees	May 2025
218	East Caucasian	Lezgic	Archi	Archib	village	no	no	Expression of the sense ‘maize’	hajj-wheat	Type of name	hajj-wheat native	hadži-xoxo	haǯi-χoχo	Mais	maize		Arabic according to the author	erckert1895	98	Samira Verhees	May 2025
25	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Expression of the sense ‘maize’	hajj-wheat	Type of name	unclear	гьа1жыла	haˤžɨla	кукуруза	maize			chumakinaetal2007	108	Samira Verhees	May 2025
89	East Caucasian	Avar	Avar	Andalal	dialect_toplevel	no	yes	Expression of the sense ‘maize’	other	Type of name	garɣɯdalɯ - Azeri	гъардали	ʁardali	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
91	East Caucasian	Avar	Avar	Antsrosunkhada	dialect_nt2	no	yes	Expression of the sense ‘maize’	other	Type of name	garɣɯdalɯ - Azeri	къардали	qːardali	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
239	East Caucasian	Avar	Avar	Antsukh	dialect_nt1	no	no	Expression of the sense ‘maize’	other	Type of name	unclear	bagdad	bagdad	Mays	maize			guldenstadt1791	515	Samira Verhees	May 2025
87	East Caucasian	Avar	Avar	Baqluq	dialect_nt1	no	yes	Expression of the sense ‘maize’	other	Type of name	unclear	самуч//сасамуч	samuč // sasamuč	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
95	East Caucasian	Avar	Avar	Batsada	dialect_nt2	no	yes	Expression of the sense ‘maize’	hajj-wheat	Type of name	hajj-wheat native	х1ажикъор	ħažiqʼor	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
92	East Caucasian	Avar	Avar	Bukhnada	dialect_nt2	no	yes	Expression of the sense ‘maize’	other	Type of name	garɣɯdalɯ - Azeri	къардали	qːardali	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
86	East Caucasian	Avar	Avar	Bukhti	dialect_nt1	no	yes	Expression of the sense ‘maize’	hajj-wheat	Type of name	unclear	х1ажибдай	ħažibdaj	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
240	East Caucasian	Avar	Avar	Car	dialect_nt2	no	no	Expression of the sense ‘maize’	other wheat	Type of name	unclear	pinda bugda	pinda bugda	Mays	maize			guldenstadt1791	515	Samira Verhees	May 2025
94	East Caucasian	Avar	Avar	Chadakolob	village	no	yes	Expression of the sense ‘maize’	other	Type of name	simindi - Georgian	ссиминди(яб)	sːimindi(jab)	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
81	East Caucasian	Avar	Avar	Chukh	dialect_nt1	no	yes	Expression of the sense ‘maize’	other wheat	Type of name	wheat from Transcaucasia	ц1ц1оросоролълъ	cʼːorosaroɬː	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
27	East Caucasian	Avar	Avar	Hid	dialect_nt1	no	yes	Expression of the sense ‘maize’	other wheat	Type of name	wheat from Transcaucasia	ц1ц1оросаролълъ	cʼːorosaroɬː	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
96	East Caucasian	Avar	Avar	Qahib	dialect_nt1	no	yes	Expression of the sense ‘maize’	hajj-wheat	Type of name	hajj-wheat native	х1ежолълъ	ħežoɬː	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
74	East Caucasian	Avar	Avar	Qeleb	dialect_nt1	no	yes	Expression of the sense ‘maize’	other wheat	Type of name	wheat from Transcaucasia	ц1ц1оросаролълъ	cʼːorosaroɬː	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
83	East Caucasian	Avar	Avar	Khinub	village	no	yes	Expression of the sense ‘maize’	other wheat	Type of name	wheat from Transcaucasia	ццоролълъ	cːoroɬː	кукуруза	maize			saidova2008	394	Samira Verhees	May 2025
